Genes	log2FoldChange	pvalue
LOC112580813	4.389835377	2.47E-43
LOC102413060	-16.85886748	2.70E-43
FSCN1	-4.637762115	6.33E-43
LOC102407424	-5.50581012	6.89E-43
LOC112581251	-12.2330763	8.88E-43
PTGES	6.172797331	2.00E-42
ASPM	-6.124407846	3.53E-42
LOC102406719	6.562035866	3.85E-42
NFKBIZ	5.551892651	4.55E-42
MUC20	6.823424105	7.88E-42
PROS1	-4.064100535	6.27E-41
DUSP10	7.717682001	6.35E-41
DBNDD1	-5.627168943	8.75E-41
LOC102416621	-11.29203691	9.28E-41
FADS1	-6.750854964	1.10E-40
PARP3	3.461886295	1.23E-40
KLF10	3.424290394	2.14E-40
TGFA	5.957594917	2.34E-40
FADS2	-7.733859881	2.93E-40
ETS2	3.560015698	4.44E-40
BCL2A1	-5.410876898	5.90E-40
ATP12A	-3.959435438	1.22E-39
LOC102412228	-16.34441031	1.90E-39
UBASH3B	-4.479603234	1.97E-39
LMCD1	5.475487164	2.82E-39
XDH	6.499525319	5.04E-39
SLC16A10	-5.861707423	5.48E-39
ATF3	5.986271369	8.53E-39
CENPF	-6.280877349	8.48E-39
PDE1B	-5.130190531	1.63E-38
MCM10	-6.176012857	1.68E-38
POLE	-4.59364618	3.30E-38
NFATC2	-3.121870346	3.72E-38
HMMR	-6.177692174	7.26E-38
RRM2	-8.849377975	2.29E-37
DMXL2	-4.853074476	3.71E-37
UPK3BL2	13.69026449	4.32E-37
PAQR8	-3.982070907	5.07E-37
LOC102399766	-15.54655513	5.42E-37
PMM1	-4.15384366	6.36E-37
CD109	5.962851164	6.76E-37
BUB1B	-6.347056271	9.10E-37
IER3	4.149578093	1.43E-36
UBE2C	-6.794546871	4.13E-36
ABCG2	-6.091056526	5.37E-36
PLAUR	6.254597304	5.62E-36
ENAH	-4.087410539	6.61E-36
NDRG3	-3.648231452	6.96E-36
SLC7A6	-4.912539562	9.58E-36
PAG8	-15.6660017	1.00E-35
RFFL	-3.181064081	1.20E-35
ITGA2	-3.804207249	1.27E-35
ITGB6	6.018631005	1.83E-35
ABCA3	-4.620745538	1.88E-35
SAMSN1	7.067822558	1.94E-35
KLF9	6.622284044	1.97E-35
LOC102403994	-13.55262707	1.96E-35
PROM1	-5.94449584	2.71E-35
RUNX2	5.20068828	3.08E-35
TIGAR	-4.107232277	3.10E-35
LSP1	5.618478106	3.72E-35
DKK3	4.181773868	3.73E-35
LOC102408905	7.236994259	4.24E-35
LOC102416138	9.58494762	4.56E-35
CDK18	-6.270457337	5.40E-35
EYA4	4.873661015	9.20E-35
RTKN2	-7.006031348	1.93E-34
TICRR	-6.374180021	2.01E-34
CDCA7	-7.291030598	2.38E-34
ANKRD1	7.73375899	2.63E-34
PPARG	-4.297416197	3.58E-34
LOC123465816	-15.93764286	3.89E-34
KIF4A	-6.31478604	3.93E-34
PAG18	-15.38344848	3.98E-34
BMPR1B	-5.366785708	4.02E-34
ALDH3B1	6.482981121	1.27E-33
CRYAB	7.356954127	2.63E-33
BRCA2	-3.793879303	3.18E-33
RNF157	-3.542397907	4.68E-33
KIF11	-5.941596917	1.08E-32
ANO1	5.413667121	1.34E-32
CD74	6.426078073	1.71E-32
NCAPG	-7.227354748	1.94E-32
LOC102411564	-14.67602702	3.12E-32
STK26	-3.676395667	3.58E-32
GCM1	-8.140015384	4.39E-32
LTBP2	5.640367714	5.37E-32
LOC102401256	5.090000814	5.53E-32
LOC102393792	3.773221492	5.95E-32
ECT2	-4.1434805	6.22E-32
GADD45B	4.044468416	7.42E-32
GRAMD2A	-5.472101646	9.24E-32
FBXO32	3.851516416	9.26E-32
CDCA2	-5.94567719	9.91E-32
RGMB	3.429049717	1.44E-31
MEDAG	5.964867745	1.70E-31
LOC112579588	-14.68778518	2.20E-31
LOC102409703	9.372204527	2.44E-31
LOC112580785	-8.045018809	2.45E-31
LOC102410221	-4.49148259	2.61E-31
WWC2	-2.791735954	2.80E-31
PLEKHG4	-5.612588053	3.33E-31
STX3	-2.866774702	3.97E-31
CLEC3B	3.893140745	5.03E-31
CEBPA	-4.492698664	5.45E-31
LOC102409329	-6.530950982	9.03E-31
FOSL2	3.4339155	1.14E-30
LOC123465815	-9.033985685	1.37E-30
DNMT3B	-5.639934439	1.39E-30
NUCB2	-3.8725115	1.45E-30
LOC102411580	-14.33315232	1.48E-30
IQGAP3	-7.329084099	1.51E-30
PFKM	-4.03036635	1.81E-30
ANXA6	-3.716189032	2.05E-30
IRS2	4.745427607	2.47E-30
FANCD2	-6.070172177	3.20E-30
WFDC2	7.550922174	4.04E-30
PPM1L	-4.626386278	5.01E-30
LOC112577752	-14.80334921	5.36E-30
LOC123464530	-14.08000604	6.44E-30
GHR	3.883851245	6.61E-30
TPX2	-3.683917175	7.25E-30
CCN1	3.45296165	8.15E-30
LOC102411913	-14.12475314	1.02E-29
TEDC2	-4.899030419	1.06E-29
ABCG1	4.557093613	1.32E-29
NR6A1	-4.236648915	1.45E-29
SULT1E1	-14.57062823	1.72E-29
PAG9	-13.88641332	2.70E-29
LOC102389737	-13.82235097	3.19E-29
CCND1	4.10050988	4.24E-29
LOC112583639	-13.92378768	4.31E-29
ZFP36L1	3.05787989	5.58E-29
PCSK1	-9.238823526	5.88E-29
CD36	-4.726334375	7.93E-29
DKK4	-13.64760076	8.31E-29
CSRNP1	4.413144886	1.10E-28
KIF20A	-5.474232534	1.21E-28
C3	5.818089303	1.35E-28
FGFR1	4.263580647	1.55E-28
ERCC6L	-5.933571364	1.67E-28
HKDC1	-9.427478267	1.85E-28
SLC16A3	6.095124535	1.95E-28
LOC102391514	-4.545601577	2.31E-28
LOC102413645	-6.76212948	2.53E-28
PAG16	-14.42779716	3.89E-28
SKIL	2.600479949	5.00E-28
PTX3	5.488261071	5.57E-28
HK2	3.556481492	6.73E-28
MAP3K8	4.766914506	7.54E-28
GPR153	-3.313498641	7.68E-28
ZC3H12A	4.713709802	7.86E-28
BRCA1	-3.976875234	8.41E-28
CYFIP2	-4.006656168	8.38E-28
ARAF	3.397971636	1.16E-27
BUB1	-5.182166773	1.23E-27
LOC102398681	3.106168389	1.24E-27
KCNE3	5.955843417	1.25E-27
DHRS9	-13.5906574	1.56E-27
CENPE	-5.044271294	1.68E-27
LOC102406514	-13.22226042	2.16E-27
LOC102406024	-2.903862732	2.51E-27
LOC102407630	-13.40018403	2.65E-27
LOC102394992	4.35728535	2.71E-27
CITED1	-8.456717122	3.42E-27
LOC102407601	6.99854221	3.77E-27
PHLPP2	-3.635586861	6.83E-27
SLIT2	-4.076740284	7.81E-27
TYRO3	-4.107200779	8.14E-27
FASLG	-7.815842081	8.29E-27
SLC19A3	-3.972399042	1.07E-26
MARS2	3.50106738	1.32E-26
LOC123464523	-13.36235033	1.73E-26
CCDC9B	5.309366721	1.85E-26
KIFC1	-5.574288415	1.98E-26
NPPC	-13.15427842	2.07E-26
DTL	-5.365357147	2.18E-26
BAIAP2	4.346641831	2.25E-26
PLEKHH1	-4.158592461	2.94E-26
EML4	-3.316382349	3.45E-26
GDPD3	5.450585675	3.88E-26
LOC102415899	12.98780367	3.98E-26
GALM	-5.089816595	4.59E-26
SORD	-6.94096914	5.22E-26
PLK3	4.470981193	5.72E-26
SHTN1	-2.846013799	6.38E-26
LRRC8B	-3.193795614	7.68E-26
PODN	4.834968514	8.05E-26
S100A4	6.264930699	1.06E-25
AKR1D1	-12.80968244	1.22E-25
TRAK2	-2.423367144	1.65E-25
FAR2	-5.192648555	1.73E-25
HEXIM2	-3.969051966	1.79E-25
TESK2	-3.677641581	1.97E-25
TPBG	4.950099282	2.27E-25
SLC4A5	-5.607925283	2.35E-25
EDIL3	6.49227868	2.37E-25
FOSB	7.299946516	2.53E-25
CD83	4.568447153	2.71E-25
LIMD2	-4.921817813	2.82E-25
LOC112577796	-12.7685137	3.08E-25
MELK	-5.976591754	3.12E-25
ATP8A1	-3.085659215	3.36E-25
MYC	3.4595354	4.43E-25
ENO1	2.53186144	4.61E-25
TNFRSF6B	6.004269738	4.59E-25
MIS18BP1	-5.006428973	4.64E-25
ATP2A3	-3.506611833	5.59E-25
TP63	-12.70416785	5.90E-25
INHBB	5.807117607	6.08E-25
KCNN4	4.66705873	6.11E-25
TNC	7.186262436	6.39E-25
GREB1L	-3.632876849	6.49E-25
ADAM33	5.817157382	7.45E-25
GLDN	9.412820822	7.51E-25
CLDN6	-9.336402301	7.55E-25
SHCBP1	-6.680546703	9.11E-25
HBA1	-9.526714926	1.02E-24
SKP2	-2.76226519	1.04E-24
MAP1B	5.759249828	1.14E-24
CCNA2	-4.02202131	1.24E-24
PAG10	-12.62058209	1.28E-24
CEACAM1	-3.321319861	1.33E-24
STS	-6.978486645	1.37E-24
IGF2BP1	-3.499023931	1.44E-24
PLK1	-3.797061046	1.44E-24
PLEKHD1	-4.65282032	1.45E-24
LOC102392722	-12.53774236	1.77E-24
LOC102409999	4.946926199	1.91E-24
TSPAN1	-5.198846874	2.05E-24
LOC102414779	-6.925911293	2.21E-24
MYBL1	-4.534531613	2.22E-24
ABR	-3.132061589	2.43E-24
EGR1	5.61641053	2.52E-24
SPAG5	-6.669097414	2.57E-24
EDEM1	-2.392924818	2.63E-24
EREG	11.68041316	3.07E-24
F3	3.719933601	3.23E-24
LONRF3	4.566220342	3.26E-24
C14H20orf27	-3.519397302	4.05E-24
CTSA	-3.486033614	4.06E-24
MPZL2	3.412595114	4.34E-24
CLSPN	-4.73241636	4.64E-24
FAM234B	-3.353588286	5.74E-24
SNX22	-7.266860646	5.97E-24
DOCK5	-2.713476614	6.35E-24
LOC102416225	11.03078129	6.58E-24
LOC102416610	-7.179960221	6.80E-24
RGS1	8.386479594	6.82E-24
CDC42SE2	-2.659136795	6.93E-24
SQOR	4.258301448	7.26E-24
DDB1	-3.011443756	8.57E-24
MFGE8	-4.065125063	9.54E-24
FXYD3	4.64868576	1.01E-23
DPF3	-6.222326372	1.14E-23
B3GNT6	-6.988500057	1.31E-23
SAPCD2	-6.551139747	1.32E-23
LOC112585188	-12.68853691	1.36E-23
C4H10orf99	8.463406422	1.71E-23
SSH1	-2.718737504	1.96E-23
LOC102412769	6.269637433	2.80E-23
WNT5A	-7.919206911	3.93E-23
MRGPRF	7.660805182	5.10E-23
LOC102411696	-12.17624206	6.05E-23
LOC112585035	10.83936548	6.59E-23
KIF22	-4.385259325	6.62E-23
SOD2	3.153033766	6.86E-23
IKZF3	4.368325298	7.55E-23
PRRT4	-6.728847607	7.84E-23
ARHGAP19	-3.205306915	8.00E-23
PAPPA2	-8.279499802	8.74E-23
GEN1	-4.830712589	8.89E-23
HRH1	4.025856179	9.15E-23
SMIM3	3.790434293	9.70E-23
RAP1GAP2	7.406760062	1.01E-22
LOC102391731	-12.71035934	1.01E-22
RFTN2	4.905357412	1.03E-22
LOC102402481	5.400772735	1.04E-22
PAG13	-13.12101132	1.22E-22
KIF23	-3.971869974	1.60E-22
PAG17	-12.17932826	1.66E-22
TTK	-6.546937517	1.71E-22
COBL	3.46084831	1.80E-22
NCAPH	-4.073051096	1.93E-22
PDZK1	-5.038747525	2.38E-22
LIMS2	4.049537725	2.41E-22
C18H16orf74	-4.530981615	2.52E-22
TNFRSF21	-2.483429196	4.04E-22
TRIP10	2.973469765	4.36E-22
GDPD1	-5.1007749	4.48E-22
SERPINE1	4.231088017	4.65E-22
IVL	6.040673196	4.68E-22
ANLN	-2.759295549	4.89E-22
CAV2	3.501462483	5.97E-22
RGS14	4.296567364	5.97E-22
SLC36A2	-12.18041146	7.12E-22
KCTD12	2.530669246	7.68E-22
CDCA8	-4.570134483	7.71E-22
NAV2	-3.327748799	7.79E-22
REEP1	-5.758963105	7.93E-22
MLEC	-2.805959578	8.12E-22
LOC102415442	3.656519022	8.61E-22
SDC4	2.768888669	8.86E-22
STIM1	2.814887394	1.16E-21
CALCOCO2	2.701141959	1.25E-21
SP6	-3.550591824	1.35E-21
LOC102392369	-3.428412864	1.50E-21
SCPEP1	-3.266002631	1.53E-21
AREG	13.03570297	1.55E-21
NUP93	-3.361756389	1.55E-21
SGK1	2.584200655	1.69E-21
KBTBD7	-3.893858384	1.75E-21
RAC3	-3.126292832	2.02E-21
INPP5D	-3.279644198	2.04E-21
ADGRG7	-7.830187873	2.08E-21
WDHD1	-3.364585331	2.52E-21
LOC102392612	8.812252555	2.59E-21
TRIM71	-3.201915241	2.64E-21
CDH26	11.89536153	2.69E-21
KIF15	-6.353116675	2.81E-21
LOC102415969	-12.39329895	2.86E-21
AURKB	-5.355021043	2.89E-21
CHST3	3.639683924	3.36E-21
PAK1	-3.482752313	4.01E-21
IL6R	-3.076798733	4.07E-21
FZD5	-4.957986301	4.17E-21
MMS22L	-3.29147983	4.33E-21
SLC35D1	-3.904237685	4.98E-21
LY96	5.900857249	5.02E-21
KLHL18	-3.259417322	5.13E-21
SLC2A12	-3.771596343	5.91E-21
KLF4	4.633747907	6.22E-21
CXCL8	12.44599373	7.86E-21
LOC102410332	-4.725951383	8.44E-21
PPM1H	-2.340027054	9.52E-21
E2F2	-6.823251102	9.70E-21
DUSP5	5.54011724	1.01E-20
LOC123330780	3.255202007	1.22E-20
CAB39L	-3.304280403	1.25E-20
ACKR3	5.562743713	1.26E-20
HELLS	-4.332499352	1.45E-20
TOR1AIP2	-2.416879174	1.50E-20
BTG2	3.299901765	1.76E-20
CMTM4	-2.970064481	1.85E-20
SLC37A2	-3.766273176	2.06E-20
ECI2	-3.876237814	2.09E-20
CA13	7.52291366	2.13E-20
CA12	-6.755464705	2.17E-20
MCM6	-2.846191024	2.43E-20
PMEPA1	3.265088276	2.49E-20
ABCC3	3.60048821	2.92E-20
LOC102401392	4.326647448	3.17E-20
TBX3	-2.244102411	3.41E-20
PRSS23	5.930465526	4.04E-20
CCNB2	-4.296013283	4.38E-20
RAB27B	3.412598377	4.38E-20
LOC102400938	-5.460219192	4.46E-20
ITGAV	2.158926234	6.29E-20
LOC102400151	-11.57316542	6.41E-20
LTA4H	3.335375223	6.75E-20
LOC102412388	-12.20615725	6.75E-20
ADGRF4	7.521685058	6.82E-20
ANXA9	7.189988853	8.29E-20
LOC102411837	-8.028749605	9.08E-20
ICMT	-2.457534008	9.23E-20
LOC123464546	-4.586640952	9.35E-20
STARD7	-2.316349097	9.60E-20
ID4	4.448302431	1.04E-19
TCL1A	-11.56107305	1.18E-19
SCEL	3.226003837	1.21E-19
PALS2	-3.6044652	1.22E-19
LOC102412377	3.56431722	1.50E-19
RAD51	-4.039802201	1.52E-19
LOC102408478	-4.227271289	1.65E-19
ANKRD33B	-4.188410535	1.70E-19
C10H6orf58	-11.60709029	1.74E-19
CCN3	7.27702185	1.74E-19
KPNA2	-2.578375823	2.10E-19
LOC112587905	-5.417137196	2.27E-19
ARHGDIB	-4.028794954	2.51E-19
INSR	3.846572141	2.75E-19
NDST2	-2.391397924	2.78E-19
RNASET2	-3.581400286	2.92E-19
SMC2	-3.273401998	2.93E-19
SBK1	-7.691873836	2.94E-19
WNT10B	-11.1638097	3.01E-19
SNED1	5.659622953	3.03E-19
LOC112580822	4.859119191	3.41E-19
NCAM1	3.904048845	4.15E-19
BPGM	-3.324136374	4.75E-19
CCNB1	-9.588236358	4.94E-19
TIMP1	4.644667291	5.00E-19
BEST2	-5.01989975	5.02E-19
LOC102391301	-5.978566338	5.06E-19
CARD11	3.993253803	5.41E-19
COL5A3	6.551373375	5.46E-19
C2H6orf141	-3.391148625	5.59E-19
JUN	3.131878323	5.67E-19
DENND2D	-2.99628918	5.84E-19
BCL2L1	2.545882084	5.91E-19
NTN4	5.609813308	6.32E-19
AURKA	-4.036794242	6.44E-19
CHI3L1	8.948620647	7.04E-19
KIFAP3	2.266610945	7.07E-19
LOC112580821	5.281132562	7.13E-19
LOC102393391	7.542400875	8.08E-19
ZBTB16	4.954187319	8.53E-19
PHETA1	-3.854568135	8.73E-19
DST	4.259744994	1.04E-18
CCNF	-10.84351302	1.05E-18
LOC102416057	6.212941781	1.13E-18
VASH2	-5.045797022	1.25E-18
FAM20C	-3.053229776	1.34E-18
BASP1	3.077124807	1.39E-18
LOC102411827	-6.252221327	1.40E-18
LOC102400858	3.024168573	1.46E-18
FHDC1	-4.518263195	1.51E-18
SLC39A4	-11.27075691	1.55E-18
DUSP16	-2.598774301	1.62E-18
DLGAP5	-4.636449222	1.76E-18
DSCAML1	-10.86504023	1.76E-18
LOC102400013	-4.480303065	2.07E-18
NT5DC3	-3.914331474	2.10E-18
FRAT2	-3.449825069	2.48E-18
HPS5	-3.02167112	2.62E-18
NLRP3	5.79693473	2.65E-18
SMARCA1	3.571490222	2.74E-18
LOC123466003	-4.493907821	2.88E-18
RAB11FIP4	-3.261464802	2.89E-18
SLC35B4	-3.370069631	3.14E-18
VLDLR	3.056443971	3.21E-18
STT3B	-2.252703242	3.25E-18
SH3TC2	3.427719669	3.38E-18
C2H6orf132	4.217311193	3.71E-18
ALAS2	-9.07018683	3.81E-18
EPHX2	-3.645377193	3.91E-18
CHRM3	5.057174358	4.05E-18
MAPKBP1	-2.098640522	4.32E-18
TRAF3	-2.599700331	4.31E-18
NDC80	-5.764173765	4.46E-18
LOC112577781	5.605447903	4.57E-18
LRATD1	-3.018910942	4.76E-18
FAM241A	3.323305655	4.98E-18
E2F7	-6.581778526	5.25E-18
IRAK2	3.346257452	5.62E-18
MNX1	-6.38845299	5.78E-18
ARRB1	3.246224805	5.80E-18
UBTD2	-2.301104856	6.28E-18
ARSL	-3.781056803	6.60E-18
NPC2	-4.383602959	7.06E-18
ANKRD27	-2.643911912	7.19E-18
LOC102407062	-10.66608109	7.35E-18
ECM1	2.508011512	7.36E-18
HBE1	-16.25407969	7.80E-18
CPED1	-4.048172852	7.85E-18
LOC102393680	4.586297936	9.46E-18
PPIF	-3.602667721	9.77E-18
RNF19B	2.728672748	1.02E-17
FAT2	-10.97366622	1.03E-17
NUAK1	-3.107739916	1.04E-17
MASTL	-6.285566506	1.04E-17
LOC102400714	2.544119748	1.05E-17
STIL	-4.605226852	1.06E-17
CBS	-3.390621251	1.06E-17
SLC16A7	-3.906252174	1.13E-17
SSBP2	3.409506281	1.19E-17
FOS	4.369398172	1.35E-17
KCNK5	-3.849911256	1.42E-17
PABPC4	-2.410131366	1.69E-17
DMPK	4.002505905	1.75E-17
RBL1	-2.459134364	1.90E-17
GAPVD1	-2.467709045	1.92E-17
KIF20B	-2.751764624	1.92E-17
CTPS1	-3.451660189	2.22E-17
LOC102415247	10.85750894	2.23E-17
CLIC3	5.3443907	2.36E-17
TRIB1	2.751036598	2.53E-17
CHAF1A	-2.551765002	2.56E-17
CSGALNACT1	3.988872568	2.60E-17
DYNLT3	2.591586374	2.69E-17
SMAP2	-2.286174082	2.79E-17
KIF18B	-5.204019928	2.86E-17
MOSPD1	-2.817048537	2.86E-17
CDX2	-10.42666426	2.87E-17
RASA4B	4.265966424	3.14E-17
AOPEP	2.249734032	3.16E-17
SLCO4C1	-6.23122168	3.35E-17
PTGFR	-10.60323536	3.45E-17
TMEM120A	-2.894855314	3.63E-17
GFPT2	2.833253412	3.64E-17
THEM4	-3.0215646	3.65E-17
IER2	2.522545067	3.75E-17
ARHGEF38	-5.027952508	4.02E-17
PLAU	3.665983114	4.49E-17
GATA3	-2.772527773	4.50E-17
LOC102410999	-4.235700004	4.58E-17
IL1B	9.387501066	5.12E-17
RGS16	5.311360283	5.26E-17
CDC6	-4.323186835	5.37E-17
CC2D2B	-5.065770985	5.40E-17
ADGRE1	10.65908595	5.60E-17
MST1R	5.748296593	5.67E-17
SYTL1	4.112172037	5.74E-17
RCAN1	4.257253975	6.06E-17
LOC123332932	2.930936375	6.19E-17
TRPM2	6.83887193	6.30E-17
STARD13	3.686323654	6.63E-17
FURIN	-3.42038748	6.69E-17
PRC1	-3.249475122	7.06E-17
RELN	-11.54071054	7.09E-17
APPBP2	-2.330938945	7.37E-17
LOC102398089	-3.427319462	7.67E-17
KIF26A	-2.791261595	8.07E-17
BAHD1	-2.056595853	8.75E-17
LRP4	-2.919269202	8.93E-17
CAPN6	-5.917543725	9.08E-17
RADX	-9.948903726	9.20E-17
L1CAM	11.38237035	9.29E-17
LOC102390681	-10.33818224	1.06E-16
CEACAM19	-3.460034451	1.12E-16
ST6GALNAC3	-5.539268492	1.16E-16
LGR4	-2.141125051	1.23E-16
XG	4.41986109	1.27E-16
LGALSL	-2.295008679	1.37E-16
ABCD4	-3.096014726	1.47E-16
KMT5A	-2.074030898	1.47E-16
TIMELESS	-3.69744308	1.50E-16
HMGB3	3.155517531	1.52E-16
ARL4C	2.968775612	1.54E-16
CBL	-2.466162725	1.55E-16
PLEKHG1	3.071848373	1.55E-16
SLC29A2	-4.454009316	1.67E-16
LOC112579004	5.086760821	1.67E-16
ADM	-2.763868393	1.67E-16
BLMH	-2.7563499	1.68E-16
THBS1	5.504194382	1.72E-16
PREB	-3.469629572	1.79E-16
CKAP2	-3.25310595	1.87E-16
ESPL1	-3.829124931	1.88E-16
IL1R2	-5.862418059	1.88E-16
ARAP2	3.519288769	1.90E-16
LOC102395798	-7.194728967	1.92E-16
TTPA	-5.336639857	1.95E-16
BLM	-3.445145676	1.95E-16
FAM180A	11.26557584	2.00E-16
TGFB3	4.763907212	2.01E-16
DGKI	5.755726266	2.03E-16
FREM1	-3.954690136	2.03E-16
SLC16A1	2.512783284	2.21E-16
CHRDL1	5.40792616	2.24E-16
ADIRF	5.367635674	2.24E-16
TMEM268	-2.675923728	2.30E-16
PHACTR1	4.074948933	2.37E-16
RAD54L	-4.454857471	2.38E-16
ACER3	-2.503552423	2.43E-16
C5H1orf116	3.294184305	2.50E-16
NUSAP1	-4.594691024	2.52E-16
P4HA3	3.912167111	2.52E-16
ROGDI	-3.051189284	2.88E-16
SLC5A5	-4.0652357	3.06E-16
CEBPD	2.637185812	3.11E-16
BIRC5	-5.0588308	3.24E-16
LOC112584380	-10.67737402	3.30E-16
PRSS27	8.96804867	3.31E-16
NEBL	5.431259615	3.44E-16
DUSP14	4.543475033	3.74E-16
LOC102398187	-5.071442394	3.85E-16
GCGR	-5.262718461	3.93E-16
RHOBTB1	-2.847949249	3.99E-16
IL17RD	-3.439829082	4.88E-16
MCM4	-2.706344267	4.90E-16
VGLL1	3.244411329	5.02E-16
FAM135A	-2.803362772	5.15E-16
LOC123332655	-10.38420382	5.19E-16
HTRA1	2.812821089	5.34E-16
ANGPTL4	4.369136315	5.47E-16
SYDE2	-2.21007411	5.89E-16
CCL3	6.317673929	5.97E-16
TMEM40	4.269327256	6.19E-16
LOC102413952	-4.86081053	6.72E-16
LOC102405498	-5.679315235	6.80E-16
NDRG4	4.556179829	6.95E-16
EFNA4	-4.257525002	7.31E-16
LOC102400283	3.45316963	7.71E-16
DRAM1	-2.692655272	7.76E-16
DHTKD1	-3.081253378	8.00E-16
EPB41	-2.570997675	8.08E-16
MYBL2	-4.043210808	8.21E-16
SOWAHC	3.1756856	9.52E-16
SLC6A6	-2.765884128	1.01E-15
MS4A8	-3.950345988	1.03E-15
STRA6	-10.26625855	1.10E-15
MTSS2	3.19671184	1.10E-15
B4GALNT2	-6.765366959	1.12E-15
BAG3	2.926989766	1.17E-15
POLQ	-5.939868486	1.19E-15
RND1	6.894618444	1.22E-15
ADAMTS4	6.193471193	1.33E-15
AAK1	-2.733184859	1.35E-15
CDKN1A	2.612804581	1.36E-15
ARFGEF2	-2.036247092	1.49E-15
ATP4A	-10.08753	1.59E-15
URAD	-10.19942135	1.60E-15
SASH1	3.29648461	1.63E-15
MTHFD2	-3.736286593	1.70E-15
CIT	-2.571346342	1.72E-15
IRX4	-10.00052512	1.73E-15
ZNRF3	-3.047235743	1.79E-15
EFNB1	-2.687276035	1.96E-15
LOC102408136	-4.642699356	1.97E-15
LOC102402993	5.684267507	2.16E-15
GRK6	-2.324412896	2.18E-15
MCM2	-2.696469996	2.36E-15
HSPA4L	-7.213840402	2.37E-15
MAPK13	3.636699427	2.38E-15
MINDY1	-2.073116302	2.39E-15
ATP11A	-2.231920984	2.40E-15
XKRX	-3.446928703	2.44E-15
ESCO2	-3.727484438	2.45E-15
TPCN1	-2.595533609	2.47E-15
RAB15	-2.274374946	2.60E-15
RNF183	-4.885198565	2.65E-15
LOC102406175	-3.114324055	2.71E-15
LOC102413990	6.299652442	2.76E-15
STAC	3.711803662	2.81E-15
PALMD	4.172878647	2.91E-15
LOC102390926	-10.21883196	3.02E-15
HEMGN	-10.60169278	3.25E-15
E2F8	-6.638992337	3.31E-15
LOC102394342	-7.382761971	3.54E-15
NEK2	-4.700270072	3.59E-15
IQSEC1	-2.434925331	4.02E-15
LOC102409438	7.886167384	4.17E-15
MOGAT1	-5.341154116	4.19E-15
LOC102411647	-5.291169583	4.48E-15
MTFR2	-4.474400473	4.66E-15
RNF43	-3.895364523	4.76E-15
PDK4	6.611167454	4.78E-15
BCAS4	3.352353483	5.07E-15
LOC102392189	-9.770585262	5.09E-15
ALPL	-4.378380681	5.14E-15
TMEM154	3.913481851	5.19E-15
LOC102414238	8.897960043	5.21E-15
DENND11	4.766779507	5.54E-15
SLC38A7	-2.878463385	5.99E-15
GGCT	-3.858615743	6.21E-15
BAMBI	-3.363538774	6.29E-15
