Geneid	Gr11.bam	Gr12.bam	Gr13.bam	Gr31.bam	Gr32.bam	Gr33.bam
LOC123329695	3	2	11	5	4	6
LOC102400201	6	2	2	40	69	16
SFRP1	236	4	45	180	127	237
LOC123329709	0	0	0	2	2	0
LOC112587432	0	0	0	0	0	0
ZMAT4	10	0	2	0	0	2
LOC102398586	0	0	2	2	0	2
TCIM	114	50	161	396	131	626
IDO2	0	0	0	0	0	0
IDO1	0	0	0	47	3	104
ADAM18	0	0	0	0	0	0
LOC102405271	0	0	0	0	0	0
LOC102404947	0	0	0	0	0	0
LOC102404621	0	0	0	2	0	2
LOC123335148	0	0	0	0	0	0
LOC123465011	0	0	0	0	0	0
ADAM32	9	10	5	26	20	20
TRNAH-AUG	0	0	0	0	0	0
ADAM9	2962	4588	2771	1523	1095	1957
TM2D2	229	276	188	173	141	168
HTRA4	149	170	119	32	46	27
PLEKHA2	237	238	144	560	377	712
TACC1	4707	4085	3506	1341	480	2323
TRNAG-CCC_1	0	0	10	0	0	1
LOC123330155	32	8	11	0	0	0
TRNAG-UCC	0	0	0	0	0	0
LOC123330161	12	5	9	0	0	0
TRNAW-CCA_1	0	0	0	0	0	0
LOC123330166	0	0	0	0	0	0
LOC123330171	0	0	0	0	0	0
FGFR1	128	73	41	1025	674	1407
LOC102408488	31	8	38	11	10	11
LOC123327500	53	65	109	2	8	0
NSD3	2229	1232	1937	945	442	1424
LOC123330539	138	90	182	59	37	76
PLPP5	462	503	373	65	52	76
DDHD2	313	253	258	152	86	216
BAG4	352	280	271	209	133	278
LOC112587386	0	0	0	0	0	0
LSM1	100	92	64	95	145	48
LOC123330554	0	0	1	2	0	4
STAR	138	225	372	56	70	56
ASH2L	467	335	261	173	108	227
LOC112582960	8	18	19	4	4	10
EIF4EBP1	323	214	169	305	329	252
LOC123330633	7	2	7	3	2	4
ADRB3	54	31	17	6	4	10
TRNAC-GCA	0	0	0	0	0	0
GOT1L1	0	0	2	0	0	2
RAB11FIP1	7043	6944	6214	2558	1585	3579
TRNAE-UUC	7	2	9	2	0	3
BRF2	270	194	160	21	28	19
ADGRA2	1110	748	518	386	124	586
LOC123330775	28	8	23	0	0	0
PLPBP	369	410	271	68	38	100
ERLIN2	2146	2560	1800	413	202	673
LOC112582972	204	165	169	2	5	0
LOC123330810	0	0	0	0	0	0
ZNF703	717	784	325	115	72	177
LOC123330845	2	0	8	2	0	6
LOC112582976	0	0	0	0	0	0
LOC102408383	0	0	0	2	0	2
LOC123332588	0	0	0	0	0	0
TRNAG-CCC_2	0	0	0	0	0	0
EXOC3	0	0	0	0	0	0
KCNU1	0	2	0	0	0	0
LOC123330858	0	0	0	0	0	0
LOC123330868	0	0	0	0	0	0
LOC123330862	0	0	0	0	0	0
LOC123330872	0	0	0	0	0	0
LOC123330879	0	0	0	0	0	0
LOC123330946	0	0	0	0	0	0
UNC5D	0	0	0	0	0	0
LOC123330977	0	0	0	0	0	0
LOC112582979	0	0	0	0	0	0
LOC112587447	0	0	0	0	0	0
LOC123465238	0	0	0	0	0	0
LOC123331017	0	0	0	0	0	0
LOC123331022	0	0	0	0	0	0
TRNAK-CUU	0	0	0	0	0	0
LOC123332592	0	0	0	0	0	0
LOC112587478	0	0	0	0	0	0
LOC123332598	0	0	0	0	0	0
LOC123331024	0	0	0	0	0	0
DUSP26	30	22	10	8	4	4
RNF122	103	61	41	194	110	296
LOC123331113	6	0	3	20	5	36
LOC112582986	1	5	12	8	3	15
LOC112587483	4	158	122	34	2	82
TTI2	124	81	94	86	70	117
MAK16	331	279	291	262	249	247
FUT10	46	14	24	107	56	175
LOC123331131	0	0	0	0	0	6
TRNAG-CCC_3	0	0	0	0	0	0
LOC123332604	0	0	0	0	0	0
NRG1	344	52	165	128	78	189
LOC123331346	0	0	0	0	0	0
LOC112580381	0	0	0	0	0	0
LOC123331322	0	0	0	0	0	0
LOC123465292	0	0	0	0	0	0
LOC123331371	0	0	0	0	0	0
LOC123331426	0	0	0	0	0	0
LOC123331382	0	0	0	0	0	0
WRN	564	386	490	177	134	238
PURG	101	26	38	76	29	103
LOC123331546	6	0	0	2	0	2
TEX15	23	4	6	2	0	4
TRNAG-GCC_1	0	0	0	0	0	1
PPP2CB	289	331	222	320	266	433
LOC112583111	8	2	19	37	34	39
UBXN8	124	177	90	116	117	103
GSR	315	619	262	58	64	36
LOC123331609	8	0	6	0	0	0
GTF2E2	175	186	154	195	182	212
SMIM18	20	6	11	2	4	8
LOC102396449	39	53	61	39	39	36
RBPMS	237	247	69	1080	734	1394
TRNAF-GAA	0	0	0	12	0	20
LOC102394680	0	0	0	4	6	0
DCTN6	283	284	222	209	254	229
LOC102395535	10	10	8	0	0	1
MBOAT4	0	0	0	0	0	0
LEPROTL1	289	246	198	93	100	116
SARAF	2019	2019	1298	740	711	767
LOC123331830	4	0	0	0	0	0
LOC112583399	4	0	1	0	0	0
LOC112583436	0	0	0	0	0	0
LOC112583455	0	0	0	0	0	0
LOC123331912	0	0	0	2	0	2
LOC112583456	0	0	0	0	0	2
LOC102396683	0	0	0	3	0	3
DUSP4	50	4	28	43	57	25
LOC102401198	2	2	2	2	4	0
TNKS	1790	1577	1788	582	290	807
LOC102397537	29	11	19	6	0	10
TRNAE-UUC_1	0	0	0	0	0	0
LOC123332622	0	0	0	0	0	0
LOC112587331	0	0	0	0	0	0
PPP1R3B	194	277	66	718	234	1192
ERI1	141	141	146	120	94	127
LOC102399242	4	0	2	8	8	8
MFHAS1	302	141	198	539	196	855
TRNAY-GUA	4	0	0	0	0	0
LOC123332179	2	0	5	13	27	1
LOC102400552	66	16	131	14	17	10
CLDN23	306	346	190	300	241	306
LOC112583479	0	0	0	0	0	0
LOC102414277	658	335	551	396	273	561
TRNAC-GCA_1	0	0	0	0	0	0
PRAG1	214	249	153	185	76	311
LOC123465468	0	0	0	0	0	0
LOC123465469	0	0	0	0	0	0
LONRF1	152	132	149	277	174	391
LOC123465470	1	0	1	4	6	3
LOC102403853	0	0	0	5	7	0
TRMT9B	0	2	0	15	20	10
LOC123335181	0	0	0	0	0	0
LOC123332181	4	0	0	4	2	6
DLC1	1393	964	786	1660	561	2672
TRNAG-UCC_1	0	0	0	0	0	2
C1H8orf48	12	11	5	14	5	19
LOC102402668	4	0	0	0	0	0
LOC123465471	0	0	0	0	0	0
SGCZ	0	0	0	0	0	0
TRNAC-ACA_1	0	0	0	0	0	0
TUSC3	143	116	110	60	115	22
MSR1	71	34	39	230	390	20
LOC123332208	0	0	0	0	0	0
LOC123332207	0	0	0	0	0	0
LOC123465475	0	0	0	0	0	0
LOC123332626	0	0	0	0	0	0
TRNAW-CCA_2	0	0	0	0	0	0
FGF20	2	0	0	0	0	0
LOC123332209	0	0	0	0	0	0
MICU3	22	28	26	62	29	104
ZDHHC2	38	12	17	137	172	101
CNOT7	753	980	737	572	509	596
VPS37A	249	200	177	303	346	259
LOC102390763	6	5	11	2	0	2
MTMR7	28	23	21	17	8	33
TRNAE-UUC_2	0	0	0	0	0	0
TRNAE-UUC_3	0	0	0	0	0	0
LOC123332629	0	0	0	0	0	0
SLC7A2	115	72	31	138	20	276
LOC123332216	0	0	0	0	0	0
PDGFRL	195	64	22	32	39	40
LOC123332217	0	0	0	11	0	16
MTUS1	441	405	246	623	406	743
LOC123332221	4	2	2	2	0	9
LOC112587479	0	0	0	4	0	7
FGL1	0	0	2	4	0	6
PCM1	2083	1408	1888	1813	912	2764
ASAH1	1216	2121	1341	426	337	441
FRG1	136	123	98	197	170	223
LOC112587455	28	9	20	10	10	15
LOC112587456	60	37	44	33	22	48
LOC123332632	0	0	0	0	0	0
LOC112587490	0	0	7	0	0	1
LOC123332250	8	0	15	0	0	0
LOC123465478	27	44	19	26	26	24
LOC102406964	0	0	4	0	0	0
TRNAC-ACA_2	0	0	0	0	0	0
LOC123332251	6	55	21	0	0	0
LOC123332634	0	0	4	0	0	0
TRNAG-GCC_2	0	0	0	0	1	0
TRIML1	0	0	0	0	0	0
TRIML2	75	56	51	2	2	0
ZFP42	5	12	2	0	0	0
LOC102405862	1	0	0	3	5	0
LOC102402496	9	0	65	0	0	0
LOC102389840	114	6	287	0	0	0
LOC102390065	91	12	163	0	0	0
LOC102390278	33	8	67	0	0	0
LOC123465480	2	0	13	0	0	0
FAT1	16686	14461	14970	4335	1003	7443
MTNR1A	0	0	2	4	2	2
F11	0	0	0	0	0	0
KLKB1	0	0	0	0	0	0
LOC102394892	4	7	6	22	12	25
LOC102395436	0	0	0	1	1	0
FAM149A	34	4	7	30	32	31
TLR3	38	41	34	24	8	36
SORBS2	426	341	279	1748	74	3481
LOC123332284	2	0	5	22	0	31
PDLIM3	32	27	7	105	14	184
CCDC110	14	0	0	20	4	26
C1H4orf47	8	14	11	12	8	8
UFSP2	274	174	238	140	126	194
ANKRD37	59	22	113	45	23	64
LOC102411591	23	8	31	18	14	20
SNX25	389	252	331	297	119	421
CFAP97	449	348	438	263	190	386
SLC25A4	90	120	94	225	214	279
TRNAE-UUC_4	0	0	0	0	0	0
LOC123332366	0	0	0	0	0	0
HELT	0	0	0	0	0	0
ACSL1	409	288	552	346	117	595
LOC123332378	6	0	2	6	2	6
CENPU	89	135	80	32	14	46
TRNAC-GCA_2	0	0	2	0	0	0
PRIMPOL	129	102	159	33	22	48
CASP3	898	1187	916	227	236	180
IRF2	150	123	101	346	245	427
ENPP6	68	6	29	2	2	2
LOC102389624	4	0	0	2	6	3
STOX2	1065	436	996	149	65	213
TRAPPC11	517	527	552	293	221	404
RWDD4	359	461	224	274	302	252
ING2	156	136	119	116	95	126
LOC112577795	97	132	60	58	61	50
LOC102392296	430	299	361	290	222	309
LOC112583701	0	0	2	1	0	3
TRNAG-CCC_4	0	0	0	0	0	0
LOC102394225	0	0	0	6	8	0
LOC102394527	0	0	2	0	0	0
WWC2	11424	11460	9941	1108	717	1463
TRNAW-CCA_3	33	1	15	4	6	1
LOC123465537	9	4	13	6	6	4
TRNAR-ACG	0	0	0	0	0	0
DCTD	58	112	37	14	18	21
LOC123332495	8	10	11	5	2	5
LOC123332512	2	0	0	0	0	0
LOC123464555	0	0	0	0	0	0
TENM3	622	139	60	275	171	346
TRNAK-UUU	0	0	1	0	0	0
LOC123332650	0	0	0	0	0	0
LOC123332658	0	0	0	0	0	0
TRNAC-GCA_3	0	0	0	0	0	0
LOC123332660	0	0	0	0	0	0
LOC112587426	0	0	0	0	0	0
LOC123332663	0	0	0	0	0	0
LOC112587380	0	0	0	0	0	0
LOC123332522	0	0	0	0	0	0
AGA	248	280	150	161	122	199
LOC112583706	2	2	1	0	0	0
LOC123332527	0	0	0	0	0	0
NEIL3	20	26	27	3	0	3
VEGFC	52	12	13	71	12	154
LOC112587343	0	0	0	0	0	0
LOC123332666	0	0	0	2	2	0
SPCS3	1316	1638	1267	526	519	561
ASB5	0	6	2	2	0	2
SPATA4	0	0	0	0	0	0
WDR17	245	223	304	14	6	22
GPM6A	51	0	18	12	6	24
LOC112587461	4	0	0	0	0	0
LOC102394460	0	0	0	0	0	0
LOC123332538	0	0	0	0	0	0
LOC112583729	0	0	0	0	0	0
LOC123332539	2	8	4	0	0	0
LOC123332541	0	0	0	0	0	0
LOC112583730	0	0	0	0	0	0
LOC123332551	2	19	2	0	0	0
LOC123332550	0	0	0	0	0	0
LOC123332548	0	0	0	0	0	0
LOC123332559	6	3	6	0	0	0
LOC102392256	0	1	0	5	17	0
LOC123332565	0	0	0	0	0	0
LOC123332566	0	0	0	0	0	0
LOC112578537	0	0	0	0	0	0
LOC123332728	0	0	0	0	0	2
LOC112586094	0	0	0	0	0	0
DEFB109B	0	0	0	0	0	0
LOC102390187	0	0	2	11	15	0
LOC112583743	0	0	0	0	0	0
LOC102416331	193	155	192	210	221	168
DEFB104B	2	1	1	6	4	7
DEFB107B	0	0	0	0	0	0
DEFB105B	0	0	0	1	1	0
DEFB106B	0	0	0	0	0	0
SPAG11B	0	0	0	0	0	0
LOC102414555	0	0	0	87	175	16
LOC123332581	0	0	0	0	0	0
LOC123332586	0	0	0	0	0	0
LOC123332583	0	0	1	0	0	0
LOC112578700	0	0	0	0	0	0
LOC123332568	4	0	2	0	0	0
LOC102413746	0	0	0	0	0	0
LOC123332580	3	0	0	0	0	0
LOC102410355	6	0	2	0	0	0
XKR5	22	6	7	0	1	2
LOC123332590	0	0	0	0	0	0
AGPAT5	364	388	278	93	70	105
LOC112587350	0	0	0	0	1	0
MCPH1	369	259	407	149	79	247
ANGPT2	107	59	158	205	6	438
LOC123332752	0	0	0	0	0	0
TRNAG-CCC_5	0	0	0	0	0	0
LOC123332600	0	0	0	0	0	0
LOC123332601	0	2	0	0	0	0
LOC123332605	0	0	0	0	0	0
LOC123332606	0	0	0	0	0	0
CSMD1	10	2	0	0	0	0
TRNAY-AUA	0	0	0	0	0	0
LOC112587415	0	0	0	0	0	0
LOC123465555	0	0	0	0	0	0
LOC123332763	0	0	0	0	0	0
LOC123332608	0	0	0	0	0	0
LOC123332779	0	0	0	0	0	0
TRNAY-GUA_1	0	0	0	0	0	0
MYOM2	0	0	0	0	0	0
KBTBD11	75	34	23	50	47	59
ARHGEF10	217	101	44	170	28	318
LOC112577753	8	0	0	8	6	6
LOC123332616	5	0	1	2	2	0
TRNAW-CCA_4	0	0	0	0	0	0
TRNAW-CCA_5	0	0	0	0	0	0
CLN8	187	182	134	157	125	200
DLGAP2	2	0	0	2	0	2
LOC123332628	0	0	0	0	0	0
ERICH1	152	96	165	117	81	151
LOC123332630	1	0	0	0	0	0
LOC112587500	9	9	12	19	29	9
LOC112587489	0	0	0	0	0	0
LOC102405569	0	0	0	0	0	0
LOC112587497	0	0	0	0	0	0
LOC123465559	78	75	63	61	30	54
LOC123465780	0	0	0	0	0	0
LOC112587327	0	0	0	0	0	0
LOC123465560	0	0	0	0	0	0
LOC123332155	0	0	0	0	0	0
LOC123464551	0	0	0	0	0	0
LOC102393350	1	0	2	0	0	4
LOC102415270	181	68	232	86	52	105
LOC112579285	0	0	0	0	0	0
LOC112587499	2	2	0	3	4	0
LOC112587513	0	0	0	0	2	0
LOC102415042	16	1	8	6	6	4
LOC102391980	0	0	0	0	0	0
LOC123332153	0	0	0	0	0	0
LOC123465689	26	49	29	19	13	24
LOC123464597	0	0	0	0	0	0
LOC123465557	52	53	17	101	25	213
LOC123465603	2	4	0	0	0	0
LOC123330663	0	0	0	1	1	0
LOC123330664	0	0	0	1	2	0
LOC123330666	0	0	0	0	1	0
LOC112582593	0	0	0	0	0	0
LOC123332873	0	0	0	0	0	0
CLIC6	2	0	0	22	23	14
RCAN1	281	274	238	3093	4385	1682
LOC102392761	36	39	50	31	27	27
LOC123332652	7	0	4	3	3	3
TRNAG-CCC_6	0	0	0	0	0	0
KCNE1	4	24	0	0	0	0
SMIM11	90	54	44	78	84	62
LOC102389353	0	0	0	0	0	0
SMIM34	2	0	0	0	0	0
TRNAG-UCC_2	0	0	0	0	0	0
C1H21orf140	6	0	8	0	0	2
KCNE2	0	0	0	0	0	0
MRPS6	170	180	96	102	134	61
SLC5A3	903	292	914	259	227	318
LOC112587526	0	0	0	0	0	0
LOC123332885	0	0	0	0	0	0
ATP5PO	914	1478	675	1060	1380	714
ITSN1	1013	499	407	976	303	1691
CRYZL1	102	123	101	72	84	92
DONSON	199	216	94	75	46	113
SON	7028	5117	6535	3568	1783	5515
GART	1158	1542	1206	380	283	397
LOC123332679	0	0	0	0	0	0
DNAJC28	95	98	63	30	43	32
TMEM50B	1369	1926	1433	471	528	414
LOC112587441	2	2	3	2	2	0
IFNGR2	578	734	338	370	331	455
LOC123332682	0	0	0	3	2	4
LOC102398542	6	0	2	2	4	6
IFNAR1	444	300	464	400	182	524
LOC112583888	0	0	1	2	0	6
IL10RB	219	290	152	181	152	181
IFNAR2	85	82	43	96	46	157
OLIG1	2	0	0	0	0	0
LOC123332905	0	0	0	0	0	0
OLIG2	0	0	0	0	0	0
LOC123332697	0	0	0	0	0	0
LOC112583890	0	0	0	0	0	0
C1H21orf62	18	14	4	2	10	0
PAXBP1	567	235	474	454	223	797
SYNJ1	357	259	326	217	157	240
CFAP298	101	87	81	169	156	215
EVA1C	10	2	2	36	0	63
LOC123332713	0	0	0	0	2	0
URB1	169	143	119	123	33	213
LOC102398087	0	0	0	0	0	0
MIS18A	68	65	54	0	0	2
HUNK	32	52	0	8	8	10
SCAF4	698	616	558	407	328	521
SOD1	966	1055	833	717	860	550
TIAM1	1265	801	1028	115	54	169
LOC123332727	15	0	26	0	0	0
LOC123332726	20	6	47	0	0	0
TRNAS-GGA	0	0	1	0	0	0
LOC123332732	0	0	0	0	0	0
LOC123332923	0	0	0	0	0	0
LOC102406781	0	0	0	0	0	0
LOC102406445	0	0	0	0	0	0
LOC102406135	0	0	0	0	0	0
LOC112586256	0	0	0	0	0	0
LOC112586274	0	0	0	0	0	0
LOC112586277	0	0	0	0	0	0
LOC112586286	0	0	0	0	0	0
LOC102395259	0	0	0	0	0	0
LOC112586396	0	0	0	0	0	0
LOC112586428	0	0	0	0	0	0
LOC112578816	0	0	0	0	0	0
LOC102395596	0	0	0	0	0	0
LOC112586454	0	0	0	0	0	0
LOC112587414	0	0	0	0	0	0
LOC123333163	0	0	0	0	0	0
LOC123465605	0	0	0	0	0	0
LOC102392699	0	0	0	0	0	0
LOC102393030	0	0	0	0	0	0
LOC123333194	0	0	0	0	0	0
LOC112586496	0	0	0	0	0	0
LOC102393996	0	0	0	0	0	0
LOC112586528	0	0	0	0	0	0
LOC102394326	0	0	0	0	0	0
LOC102394629	0	0	0	0	0	0
LOC102394955	0	0	0	0	0	0
LOC102412482	0	0	0	0	0	0
LOC123333258	0	0	0	0	0	0
LOC102412164	0	0	0	0	0	0
CLDN8	257	271	159	219	279	140
CLDN17	2	0	0	0	0	0
LOC112587521	0	0	0	0	0	0
GRIK1	0	0	0	0	0	2
LOC112587358	0	0	0	0	0	0
BACH1	664	653	577	663	409	1009
LOC123332749	0	0	0	0	0	0
MAP3K7CL	0	0	0	8	0	22
TRNAC-ACA_3	0	0	0	2	2	0
TRNAC-GCA_4	0	0	0	0	0	0
CCT8	2072	2320	2058	1188	948	1379
USP16	706	504	643	503	387	632
RWDD2B	223	222	168	251	292	179
LTN1	895	873	894	615	438	790
N6AMT1	16	6	14	22	18	18
LOC102389431	4	13	5	69	37	10
LOC102390304	2	0	2	0	0	0
LOC112587390	0	0	0	0	0	0
TRNAG-GCC_3	0	0	0	0	0	0
LOC102411924	24	22	35	7	7	1
LOC112587451	0	0	0	0	0	0
ADAMTS5	513	461	128	1192	876	1414
ADAMTS1	3918	7971	2902	2550	350	4694
CYYR1	257	32	93	312	0	587
TRNAF-AAA	0	0	0	0	0	0
LOC102416140	6362	8043	4301	5414	2509	8255
LOC112583944	108	42	149	45	19	95
TRNAR-CCU	0	0	3	0	0	0
LOC112587376	2	0	2	0	0	0
GABPA	1445	1673	1515	498	512	522
ATP5PF	673	766	503	704	907	535
JAM2	124	28	56	155	119	187
MRPL39	331	329	237	265	332	167
LOC112587371	0	0	0	0	0	0
LOC112587388	0	0	0	0	0	0
LOC123332921	57	18	12	0	0	0
LOC123332818	8	2	2	0	0	0
LOC102409156	80	75	279	77	17	167
NCAM2	4	0	2	2	4	4
LOC123465592	0	0	0	0	0	0
LOC102415244	0	0	0	0	4	0
LOC123333332	0	0	0	0	0	0
TRNAV-CAC	0	0	0	0	0	0
TRNAC-GCA_5	0	0	0	0	0	0
LOC112587360	0	0	0	0	0	0
LOC112587535	1	0	0	0	0	0
TMPRSS15	0	0	0	0	0	0
CHODL	0	0	0	0	0	0
LOC102403347	0	0	0	0	0	0
C1H21orf91	101	123	83	118	124	140
BTG3	446	311	285	239	168	252
TRNAK-UUU_1	3	2	4	2	0	2
CXADR	3148	4854	3215	1235	717	1804
TRNAC-ACA_4	0	0	0	0	0	0
TRNAC-GCA_6	0	0	0	0	0	0
USP25	512	374	315	743	523	1046
LOC123332856	8	0	15	10	6	14
LOC112577670	195	137	183	69	55	101
NRIP1	2351	2224	2211	856	568	1052
SAMSN1	4	4	2	308	241	347
TRNAY-GUA_2	0	0	0	1	1	0
LOC123465691	0	0	0	0	0	0
LOC123333376	0	0	0	0	0	0
HSPA13	1285	2201	1481	693	509	879
LOC102392421	67	62	29	4	8	0
RBM11	5	2	2	2	2	4
LIPI	0	0	0	0	2	0
LOC123332864	0	0	0	0	0	0
ROBO2	354	65	127	65	42	104
LOC123332871	17	2	6	12	4	10
TRNAG-UCC_3	0	0	0	0	0	0
ROBO1	344	181	140	4	8	4
LOC123332872	0	0	0	0	0	0
TRNAC-ACA_5	0	0	0	0	0	0
TRNAS-GGA_1	0	0	0	0	0	0
GBE1	180	178	109	349	285	391
LOC123332877	0	0	0	0	0	0
LOC123332878	0	0	0	0	0	0
LOC112587373	0	0	0	0	0	0
LOC123465609	162	142	98	105	114	90
LOC123333451	0	0	0	0	0	0
CADM2	6	0	0	0	0	2
TRNAS-GGA_2	0	0	0	0	0	0
VGLL3	770	681	662	1562	1954	1215
CHMP2B	378	558	482	731	793	675
POU1F1	0	0	0	4	4	0
TRNAC-ACA_6	0	0	0	0	0	0
HTR1F	0	0	0	0	0	0
LOC102399450	0	0	1	0	0	0
CGGBP1	904	943	855	779	565	956
ZNF654	395	316	397	469	395	503
C1H3orf38	204	239	211	236	301	192
LOC112584193	8	4	8	0	2	2
LOC123332971	0	0	0	0	0	0
TRNAC-GCA_7	0	0	0	0	0	0
EPHA3	20	0	2	90	145	33
TRNAF-AAA_1	0	0	0	0	0	0
LOC123465728	73	34	102	0	0	0
PROS1	5222	5479	4272	193	193	199
ARL13B	337	274	374	118	119	158
STX19	15	2	30	46	60	33
NSUN3	101	121	153	93	77	85
LOC123333107	0	0	0	0	0	0
LOC123333621	0	0	0	0	0	0
TRNAW-CCA_6	0	0	0	0	0	0
EPHA6	8	6	4	29	24	30
LOC112587392	0	0	0	0	0	0
ARL6	56	34	75	63	42	83
CRYBG3	2110	1260	2529	511	307	638
RIOX2	176	217	186	53	47	60
GABRR3	0	0	0	0	0	0
LOC102399960	0	0	0	0	0	0
LOC102400302	0	0	0	0	0	0
LOC102400623	0	0	0	0	0	0
LOC102401272	0	0	0	0	0	0
TRNAW-CCA_7	0	0	0	0	0	0
LOC102401591	0	2	0	0	0	0
LOC102397712	0	0	0	0	0	0
LOC123465779	0	0	0	0	0	0
LOC102398029	0	0	0	0	0	0
LOC102403217	0	0	0	0	0	0
LOC112587048	0	0	0	0	0	0
LOC112587065	0	0	0	0	0	0
LOC112587094	0	0	0	0	0	0
LOC102414616	0	0	0	0	0	0
LOC102413939	0	0	0	0	0	0
LOC102414278	0	0	0	0	0	0
LOC102392000	2	0	4	0	0	0
LOC112587416	0	0	0	0	0	0
LOC102407051	0	0	0	0	0	0
TRNAS-GGA_3	0	0	0	0	0	0
LOC102407682	0	0	0	0	0	0
LOC102408022	0	0	0	0	0	0
LOC123333138	13	6	18	12	12	11
CLDND1	720	1125	712	524	600	423
GPR15	0	0	0	4	8	0
LOC112587501	2	0	0	0	0	0
CPOX	461	491	316	201	184	262
LOC112587436	0	0	0	0	0	0
LOC102401139	43	2	14	0	0	0
LOC123333164	0	0	0	0	0	0
ST3GAL6	112	108	96	124	77	177
LOC123333161	2	0	1	2	0	4
DCBLD2	341	146	110	218	76	399
TRNAE-UUC_5	0	0	0	0	0	0
LOC123333168	0	0	0	0	0	0
LOC123333167	0	0	0	0	0	0
LOC123333170	0	0	0	0	0	0
LOC123333171	0	0	0	0	0	0
LOC123333169	0	0	0	0	0	0
LOC112584406	0	0	0	0	0	0
COL8A1	82	6	6	377	112	620
CMSS1	44	32	46	10	8	22
FILIP1L	623	387	745	828	120	1482
LOC102394148	2	0	0	0	0	0
TBC1D23	830	914	839	770	729	738
LOC102394999	217	309	174	93	98	92
NIT2	134	157	77	101	98	78
TOMM70	693	872	610	581	560	563
TRNAC-ACA_7	0	0	0	2	2	0
LNP1	24	8	20	16	10	11
LOC102398268	0	6	2	0	0	0
LOC123464564	220	139	41	234	221	265
ADGRG7	359	893	478	2	3	0
LOC123333187	0	2	11	0	0	0
TFG	1069	1320	722	461	422	576
LOC102400543	392	69	121	274	204	344
LOC123333208	2	0	0	0	0	0
IMPG2	97	62	152	93	78	95
SENP7	399	329	487	269	247	344
LOC102398236	19	22	32	20	18	20
TRMT10C	191	218	130	149	175	157
LOC102395487	740	672	671	741	722	764
LOC123333219	8	1	17	34	21	47
ZBTB11	877	716	928	381	301	593
RPL24	1243	1816	963	1480	1778	1130
CEP97	333	185	378	170	107	233
NXPE3	89	80	72	109	38	164
